10000, 0, 2.8
20000, 0, 3
30000, 0, 3
40000, 0, 3.2
50000, 99700, 3.2
60000, 0, 3.2
70000, 0, 3.4
80000, 0, 3.4
90000, 0, 3.4
100000, 0, 3.4
110000, 0, 3.4
120000, 0, 3.4
130000, 0, 3.4
140000, 0, 3.6
150000, 0, 3.6
160000, 0, 3.6
170000, 0, 3.6
180000, 0, 3.6
190000, 0, 3.6
200000, 0, 3.6
210000, 0, 3.6
220000, 0, 3.6
230000, 0, 3.6
240000, 0, 3.6
250000, 0, 3.6
260000, 0, 3.6
270000, 0, 3.8
280000, 0, 3.8
290000, 0, 3.8
300000, 0, 3.8
310000, 0, 3.8
320000, 0, 3.6
330000, 0, 3.6
340000, 0, 3.8
350000, 0, 3.6
360000, 0, 3.8
370000, 0, 3.6
380000, 0, 3.8
390000, 0, 3.8
400000, 0, 3.8
410000, 0, 3.8
420000, 0, 3.8
430000, 0, 3.6
440000, 0, 3.8
450000, 0, 3.6
460000, 0, 3.8
470000, 0, 3.8
480000, 0, 3.8
490000, 0, 3.8
500000, 0, 3.8
510000, 0, 3.8
520000, 0, 3.8
530000, 0, 3.8
540000, 0, 3.8
550000, 0, 4
560000, 0, 3.8
570000, 0, 3.8
580000, 0, 3.8
590000, 0, 4
600000, 0, 3.8
610000, 0, 3.8
620000, 0, 3.8
630000, 0, 3.8
640000, 0, 4
650000, 0, 3.8
660000, 0, 4
670000, 0, 4
680000, 0, 3.8
690000, 0, 4
700000, 0, 4
710000, 0, 4
720000, 0, 4
730000, 0, 4
740000, 0, 4
750000, 0, 4
760000, 0, 3.8
770000, 0, 4
780000, 0, 4
790000, 0, 3.8
800000, 0, 4
810000, 0, 4
820000, 0, 4
830000, 0, 3.8
840000, 0, 3.8
850000, 0, 3.8
860000, 0, 4
870000, 0, 4
880000, 0, 3.8
890000, 0, 4
900000, 0, 4
910000, 0, 3.8
920000, 0, 4
930000, 0, 4
940000, 0, 3.8
950000, 0, 4
960000, 0, 4
970000, 0, 4
980000, 0, 4
990000, 0, 4
1000000, 0, 4
1010000, 0, 4
1020000, 0, 4
1030000, 0, 4
1040000, 0, 4
1050000, 0, 4
1060000, 0, 4
1070000, 0, 4.2
1080000, 0, 4
1090000, 0, 4
1100000, 0, 4
1110000, 0, 4
1120000, 0, 4
1130000, 0, 4
1140000, 0, 4
1150000, 0, 4
1160000, 0, 4
1170000, 0, 4
1180000, 0, 4.2
1190000, 0, 4
1200000, 0, 4
